id;name
ccj725dbc08;Код профессии по ISCO2008 второй специальности института, университета, академии,включая магистратуру
ccj725dcc08;Код профессии по ISCO2008 третьей специальности института, университета, академии,включая магистратуру
ccj725ddc08;Код профессии по ISCO2008 четвертой специальности института, университета, академии,включая магистратуру
ccj726dac08;Код профессии по ISCO2008 первой специальности аспирантуры, ординатуры
ccj726dbc08;Код профессии по ISCO2008 второй специальности аспирантуры, ординатуры
ccj73;Вы сейчас получаете пенсию? Не учитывайте, пожалуйста, пенсии на детей
ccj74.1a;Какую именно пенсию Вы получаете сейчас?
ccj74.1b;Какую именно пенсию Вы получаете сейчас?
ccj74.1c;Какую именно пенсию Вы получаете сейчас?
ccj75;Вы получали пенсию в течение последних 30 дней на руки или на сберкнижку, на карточку?
ccj77;Есть ли работа у респондента?
ccj77a;Респондент учился где-нибудь кроме школы?
ccj78;Вы работали когда-нибудь?
ccj8;Сколько часов Вы фактически отработали по основному месту работы в течение последних 30дней?
ccj8.1;Скажите, пожалуйста, Вы работали по основной работе дома в течение последних 30 дней?
ccj8.2;Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней?
"ccj8.3;Скажите, пожалуйста, Вы учитывали эти часы, когда называли общую продолжительность
рабочего времени за последние 30 дней?"
ccj80.1;По какой основной причине Вы перестали работать на Вашей последней работе?
ccj80.2c08;Код профессии по ISCO2008 последней работы до ухода
ccj80a;В каком году Вы ушли с Вашей последней работы, перестали работать?
ccj80b;В каком месяце Вы ушли с Вашей последней работы, перестали работать?
ccj81;Хотели бы Вы найти (другую) работу?
ccj81.1;Cколько времени Вы ищете (другую) работу? (в неделях)
ccj81.2;Представьте, что Вам сегодня предложили работу. Какую минимальную зарплату Вам должныплатить на этой новой работе, чтобы Вы согласились на нее? Сколько рублей?
ccj82;Вы обращались куда-нибудь или к кому-нибудь в поисках работы в течение последних 30дней?
ccj83.1;Вы обращались в поисках работы в государственные службы занятости, на биржи труда?
ccj83.2;Вы обращались в поисках работы в негосударственные службы занятости, агентства,например, Хедхантер, Суперджоб и другие?
ccj83.3;Вы обращались в поисках работы к друзьям, знакомым?
ccj83.4;Вы обращались в поисках работы к родственникам?
ccj83.5;Вы обращались в поисках работы непосредственно на предприятия?
ccj83.6;Вы обращались в поисках работы к рекламным объявлениям, кроме Интернета?
ccj83.7;Вы обращались в поисках работы к рекламным объявлениям в Интернете?
ccj83.8;Вы обращались в поисках работы в социальные сети?
ccj84.1;Если бы на прошлой неделе Вам предложили подходящую работу, Вы смогли бы приступить кней сразу?
ccj84.2;Как Вы считаете, сколько примерно времени Вам необходимо, чтобы найти (другую) работу?(дней)
ccj85;Вы зарегистрированы в государственной службе занятости как безработный(ая)?
ccj86;Сколько дней тому назад Вы зарегистрировались в государственной службе занятости?
ccj87;Вы получаете пособие по безработице?
ccj88;Вы получили пособие по безработице в последние 30 дней?
ccj89;Сколько денег Вы получили в качестве пособия по безработице в течение последних 30дней?
ccj89.1;Служба занятости в течение трех последних месяцев Вам помогала трудоустроиться, пройтиобучение или переобучение, оказывала психологическую помощь?
